trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
115,4,481.69266843795776,00:08:01,128381,1381,0.00598884467035532,0.008300983346998692,3.5472809225421678,3,0.00013377028393169097,140,1447,246,136,181,240
116,4,753.4515221118927,00:12:33,138725,1271,0.005306682549417019,0.0074586146511137486,3.1247509646902873,3,0.00020184352097005139,66,1360,251,169,162,256
117,4,1295.892408132553,00:21:35,56480,1397,0.006204760167747736,0.008339634165167809,3.0883007019434467,3,0.00011839678232266347,37,1408,218,121,18,233
118,4,373.3736083507538,00:06:13,182195,1312,0.005894733592867851,0.008105885237455368,3.1774210658679216,3,0.0001694379245705498,184,1331,240,252,193,242
119,4,431.34933495521545,00:07:11,174161,1369,0.005208821501582861,0.007835758849978447,3.055988875254073,3,0.00026088802903830456,165,1476,226,240,209,215
120,4,544.2985179424286,00:09:04,124205,1371,0.005313136149197817,0.007974917069077492,3.0778574436243815,2,0.0010416143578998863,96,1376,253,243,146
121,4,368.02664160728455,00:06:08,133159,1353,0.0056455060839653015,0.008019814267754555,3.182672265974908,3,0.0003584050413404754,212,1437,245,152,184,224
122,4,443.7686450481415,00:07:23,189820,1351,0.0052611627615988255,0.007678160909563303,3.1039875960218293,3,0.0002241352821569752,145,1397,235,226,255,209
123,4,417.1628649234772,00:06:57,172169,1331,0.008288889192044735,0.009729960933327675,3.6714683660716743,3,0.005031605054052808,151,1337,242,202,231,217
124,4,385.8154830932617,00:06:25,165038,1178,0.0056403581984341145,0.008159923367202282,3.074761447790995,3,0.00015153177500228047,170,1295,256,214,178,248
125,4,1725.160246372223,00:28:45,162787,1476,0.004613134544342756,0.0075734383426606655,2.9765288985187635,3,0.0005444307389892968,32,1498,249,233,166,234
126,4,1088.6818306446075,00:18:08,131969,1405,0.004778082016855478,0.007629005704075098,3.1353728792984183,3,0.00019299491708940815,46,1452,230,186,155,227
127,4,453.9679505825043,00:07:33,178908,1404,0.004920439328998327,0.008043237030506134,3.102973770949261,4,0.00023838100663425114,160,1416,245,222,130,193,226
128,4,377.61653113365173,00:06:17,110869,1187,0.005639202427119017,0.007820169441401958,3.033738683109763,3,0.0004867502653890689,156,1239,238,210,77,243
129,4,404.4824767112732,00:06:44,134502,1179,0.005271435249596834,0.007696561049669981,3.1990897075294233,3,0.0002708701228979902,175,1356,251,147,202,201
130,4,480.7952284812927,00:08:00,136016,1349,0.006112304981797934,0.008339636959135532,3.181301895200609,3,0.00014072885698631916,130,1376,222,105,248,251
131,4,1221.360764503479,00:20:21,172385,1431,0.004580525681376457,0.007548504509031773,3.132871508917597,3,0.0001722695005807662,41,1465,234,249,189,219
132,4,1214.1607263088226,00:20:14,117983,1390,0.0048110634088516235,0.00765183987095952,3.17583165337894,3,0.00031680112468681867,40,1421,256,160,149,171
133,4,1118.7352216243744,00:18:38,65054,1313,0.006134931463748217,0.008657420054078102,3.192702349552555,3,0.0003409338684577587,47,1500,57,132,162,181
