trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3
42,10,369.561151266098,00:06:09,108359,820,0.005977772641927004,0.007438001688569784,3.049708456600449,2,0.0005445631709269951,88,878,228,213,165
43,10,277.56968784332275,00:04:37,109967,729,0.006061846390366554,0.0075823660008609295,2.9967591954754433,2,0.0008436631761181634,106,762,247,196,178
44,10,347.556184053421,00:05:47,75260,1055,0.006209122482687235,0.007867437787353992,3.097527350191352,2,0.00036674774367360767,133,1099,193,168,131
45,10,249.55029487609863,00:04:09,114407,687,0.006004557013511658,0.007634604815393686,3.227332283446694,2,0.0005506817284991759,114,697,210,243,167
46,10,506.5011742115021,00:08:26,73235,709,0.007293660659343004,0.007984847761690617,3.12417955239344,1,0.0008126746332590099,55,862,224,219
47,10,434.518536567688,00:07:14,50689,741,0.008199242874979973,0.009193642064929008,3.357820779287202,3,0.0011397573218907336,80,939,62,46,187,171
48,10,235.92586755752563,00:03:55,72021,896,0.007908377796411514,0.008474956266582012,3.166372907532841,3,0.0005926961771471302,252,1009,174,94,229,67
49,10,587.9559676647186,00:09:47,89455,1375,0.005500833038240671,0.00704841548576951,3.111625439074586,2,0.0004421799727154312,95,1482,192,173,204
50,10,532.7038831710815,00:08:52,101717,1111,0.006641108077019453,0.007849892601370811,3.0017894435699546,2,0.0017226358641318732,75,1135,246,195,140
51,10,313.0757188796997,00:05:13,110384,799,0.00596926873549819,0.007441341411322355,3.154099482009326,2,0.0006829270286135882,100,820,232,208,178
52,10,383.57463335990906,00:06:23,79625,879,0.00599108450114727,0.007478696759790182,3.1000528706229917,2,0.0009181742179183745,87,915,223,234,16
53,10,278.0036633014679,00:04:38,113625,844,0.005871894769370556,0.007259421981871128,3.195884819672039,2,0.0007039529780020935,125,847,237,206,190
54,10,274.5937023162842,00:04:34,115055,656,0.006386915687471628,0.007423845119774342,3.0361062224110476,2,0.0005022913327009501,113,767,248,217,159
55,10,279.6083834171295,00:04:39,123409,577,0.006836195942014456,0.007765301503241062,2.9767439389760244,3,0.0011475476881002138,96,668,211,157,180,216
56,10,479.67966413497925,00:07:59,99662,947,0.005840486381202936,0.0072881667874753475,3.0957673426189025,2,0.0007186627424088522,72,990,199,192,207
57,10,268.55278849601746,00:04:28,125104,796,0.006397383287549019,0.007951067760586739,3.1788379171396386,4,0.00028774125433058117,143,805,218,177,170,120,103
58,10,421.7040205001831,00:07:01,44381,633,0.008069848641753197,0.008993507362902164,3.2387873799087057,1,0.0005656069963216982,55,713,231,86
59,10,827.2306125164032,00:13:47,95686,1029,0.005333386827260256,0.007143168244510889,2.9757080011421104,2,0.0003647403960083728,46,1173,186,226,148
60,10,391.68739581108093,00:06:31,145313,986,0.0053146835416555405,0.007210159208625555,3.000762933808489,3,0.0009554310521622869,107,1034,249,243,183,74
61,10,895.7488615512848,00:14:55,98663,1111,0.005309902131557465,0.007030884735286236,2.9439379955159755,2,0.000401210424584287,42,1180,214,225,122
