trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
85,2,655.4559526443481,00:10:55,100469,1388,0.0052640694193542,0.007274953182786703,3.2584626414542854,2,0.0009830631823195925,91,1500,208,256,97
86,2,1033.4866704940796,00:17:13,108071,1310,0.005141092464327812,0.007195912767201662,2.9818556778066405,2,0.0005263808124334397,45,1374,236,237,113
87,2,947.1121084690094,00:15:47,96475,1431,0.005296451039612293,0.007309617009013891,2.9403986565778872,2,0.0007568411858340039,53,1450,200,244,107
88,2,1099.7999682426453,00:18:19,83477,1294,0.005280626937747002,0.0074022733606398106,2.990564002247837,2,0.000569194462555571,39,1326,216,206,77
89,2,684.6602559089661,00:11:24,80233,1225,0.005382702220231295,0.007373462431132793,2.897157857492248,2,0.00048601732355539476,80,1406,187,217,90
90,2,200.606463432312,00:03:20,76186,716,0.00754085648804903,0.008885043673217297,3.6159348479111832,1,0.000665285347987705,204,771,224,232
91,2,1160.2573914527893,00:19:20,73109,1271,0.005752285476773977,0.007675418630242348,3.0652858460059877,2,0.00081918771040428,35,1293,249,139,86
92,2,845.4531228542328,00:14:05,93057,1190,0.00534868286922574,0.007388739380985498,3.3677499808629685,2,0.00034514278825710433,49,1271,231,235,60
93,2,856.5698566436768,00:14:16,102761,1366,0.005046726670116186,0.0072360713966190815,2.89586210739952,2,0.0006065408806827347,57,1465,238,251,70
94,2,414.5257987976074,00:06:54,89795,823,0.0061148181557655334,0.008142584934830666,3.019171117500873,2,0.0004015164093218439,70,823,203,242,78
95,2,923.0876660346985,00:15:23,94665,1330,0.006303034257143736,0.00816077645868063,3.194503325657376,2,0.0013855487843389813,46,1332,256,224,45
96,2,277.7432155609131,00:04:37,102640,1141,0.006316290237009525,0.0076822321861982346,3.055526058885019,2,0.0009719579695061237,256,1206,220,250,96
97,2,757.4556798934937,00:12:37,106001,1388,0.005064655095338821,0.007177211809903383,2.9754046351230157,2,0.000287083193393673,64,1424,241,227,112
98,2,817.1061472892761,00:13:37,59534,1235,0.005590999964624643,0.007885981351137161,3.0748106103557546,2,0.0004958057171397602,51,1261,81,240,129
99,2,1147.9540956020355,00:19:07,79770,1343,0.005002431571483612,0.007219638675451279,2.938824511375249,2,0.0003497189265523263,36,1365,213,232,33
100,2,995.8794791698456,00:16:35,52665,1274,0.00586358830332756,0.00808061845600605,2.921542966717352,2,0.0005742912504040408,44,1298,103,245,66
101,2,866.2443814277649,00:14:26,87023,1356,0.0050761220045387745,0.007589166983962059,3.0017423643763346,2,0.00031289912613533075,56,1385,185,219,121
102,2,836.1778745651245,00:13:56,97568,1373,0.004789293278008699,0.0073736244812607765,2.8536103879161265,2,0.0006631445714009499,60,1422,249,240,47
103,2,850.6778786182404,00:14:10,101597,1466,0.004925055895000696,0.007019952405244112,2.785579655108485,2,0.000440208316271903,61,1471,249,251,50
104,2,730.9978294372559,00:12:10,96947,1358,0.005020693875849247,0.007537066005170345,2.866521883757408,2,0.0006875018354396682,73,1464,251,250,30
